-0.999850 1.000000 -nan     1.000000
-0.999550 1.000000 -nan     1.000000
-0.999250 1.000000 -nan     1.000000
-0.998950 1.000000 -nan     1.000000
-0.998650 1.000000 -nan     1.000000
-0.998350 1.000000 -nan     1.000000
-0.998050 1.000000 -nan     1.000000
-0.997750 1.000000 -nan     1.000000
-0.997450 1.000000 -nan     1.000000
-0.997150 1.000000 -nan     1.000000
-0.996850 1.000000 -nan     1.000000
-0.996550 1.000000 -nan     1.000000
-0.996250 1.000000 -nan     1.000000
-0.995950 1.000000 -nan     1.000000
-0.995650 1.000000 -nan     1.000000
-0.995350 1.000000 -nan     1.000000
-0.995050 1.000000 -nan     1.000000
-0.994750 1.000000 -nan     1.000000
-0.994450 1.000000 -nan     1.000000
-0.994150 1.000000 -nan     1.000000
-0.993850 1.000000 -nan     1.000000
-0.993550 1.000000 -nan     1.000000
-0.993250 1.000000 -nan     1.000000
-0.992950 1.000000 -nan     1.000000
-0.992650 1.000000 -nan     1.000000
-0.992350 1.000000 -nan     1.000000
-0.992050 1.000000 -nan     1.000000
-0.991750 1.000000 -nan     1.000000
-0.991450 1.000000 -nan     1.000000
-0.991150 1.000000 -nan     1.000000
-0.990850 1.000000 -nan     1.000000
-0.990550 1.000000 -nan     1.000000
-0.990250 1.000000 -nan     1.000000
-0.989950 1.000000 -nan     1.000000
-0.989650 1.000000 -nan     1.000000
-0.989350 1.000000 -nan     1.000000
-0.989050 1.000000 -nan     1.000000
-0.988750 1.000000 -nan     1.000000
-0.988450 1.000000 -nan     1.000000
-0.988150 1.000000 -nan     1.000000
-0.987850 1.000000 -nan     1.000000
-0.987550 1.000000 -nan     1.000000
-0.987250 1.000000 -nan     1.000000
-0.986950 1.000000 -nan     1.000000
-0.986650 1.000000 -nan     1.000000
-0.986350 1.000000 -nan     1.000000
-0.986050 1.000000 -nan     1.000000
-0.985750 1.000000 -nan     1.000000
-0.985450 1.000000 -nan     1.000000
-0.985150 1.000000 -nan     1.000000
-0.984850 1.000000 -nan     1.000000
-0.984550 1.000000 -nan     1.000000
-0.984250 1.000000 -nan     1.000000
-0.983950 1.000000 -nan     1.000000
-0.983650 1.000000 -nan     1.000000
-0.983350 1.000000 -nan     1.000000
-0.983050 1.000000 -nan     1.000000
-0.982750 1.000000 -nan     1.000000
-0.982450 1.000000 -nan     1.000000
-0.982150 1.000000 -nan     1.000000
-0.981850 1.000000 -nan     1.000000
-0.981550 1.000000 -nan     1.000000
-0.981250 1.000000 -nan     1.000000
-0.980950 1.000000 -nan     1.000000
-0.980650 1.000000 -nan     1.000000
-0.980350 1.000000 -nan     1.000000
-0.980050 1.000000 -nan     1.000000
-0.979750 1.000000 -nan     1.000000
-0.979450 1.000000 -nan     1.000000
-0.979150 1.000000 -nan     1.000000
-0.978850 1.000000 -nan     1.000000
-0.978550 1.000000 -nan     1.000000
-0.978250 1.000000 -nan     1.000000
-0.977950 1.000000 -nan     1.000000
